medcode,readcode,readterm,cat,score
5051,G61..00,Intracerebral haemorrhage,Cerebrovascular disease,1
5602,G64z.12,Cerebellar infarction,Cerebrovascular disease,1
44740,G680.00,Sequelae of subarachnoid haemorrhage,Cerebrovascular disease,1
226916,S62..12,Subarachnoid haemorrhage following injury,Cerebrovascular disease,1
23671,G63y000,Cerebral infarct due to thrombosis of precerebral arteries,Cerebrovascular disease,1
28314,G61X000,"Left sided intracerebral haemorrhage, unspecified",Cerebrovascular disease,1
10792,662M.00,Stroke monitoring,Cerebrovascular disease,1
10062,G6z..00,Cerebrovascular disease NOS,Cerebrovascular disease,1
12733,7A20311,Carotid endarterectomy and patch,Cerebrovascular disease,1
40053,G671.00,Generalised ischaemic cerebrovascular disease NOS,Cerebrovascular disease,1
31805,G62..00,Other and unspecified intracranial haemorrhage,Cerebrovascular disease,1
55602,G677300,Occlusion and stenosis of cerebellar arteries,Cerebrovascular disease,1
40098,1JA1.00,Suspected cerebrovascular disease,Cerebrovascular disease,1
4273,G621.00,Subdural haemorrhage - nontraumatic,Cerebrovascular disease,1
27975,G641000,Cerebral infarction due to embolism of cerebral arteries,Cerebrovascular disease,1
100639,1M4..00,Central post-stroke pain,Cerebrovascular disease,1
53810,Gyu6200,[X]Other intracerebral haemorrhage,Cerebrovascular disease,1
39403,G683.00,Sequelae of cerebral infarction,Cerebrovascular disease,1
100015,8CRB.00,Transient ischaemic attack clinical management plan,Cerebrovascular disease,1
47642,G64z100,Wallenberg syndrome,Cerebrovascular disease,1
56458,8HHM.00,Ref to multidisciplinary stroke function improvement service,Cerebrovascular disease,1
37493,G67z.00,Other cerebrovascular disease NOS,Cerebrovascular disease,1
238210,4309M,MENINGEAL HAEMORRHAGE,Cerebrovascular disease,1
42335,L440.00,Cerebrovascular disorders in the puerperium,Cerebrovascular disease,1
33499,G665.00,Pure motor lacunar syndrome,Cerebrovascular disease,1
1298,G66..11,CVA unspecified,Cerebrovascular disease,1
99367,Gyu6A00,[X]Other cerebrovascular disorders in diseases CE,Cerebrovascular disease,1
33543,G6X..00,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Cerebrovascular disease,1
54744,F11x200,Cerebral degeneration due to cerebrovascular disease,Cerebrovascular disease,1
51465,9Om3.00,Stroke/transient ischaemic attack monitoring verbal invitati,Cerebrovascular disease,1
6228,G68X.00,"Sequelae of stroke,not specfd as h'morrhage or infarction",Cerebrovascular disease,1
108630,Gyu6E00,"[X]Subarachnoid haemorrh from intracranial artery, unspecif",Cerebrovascular disease,1
39344,G676000,"Cereb infarct due cerebral venous thrombosis, nonpyogenic",Cerebrovascular disease,1
45734,F117.00,Infantile posthaemorrhagic hydrocephalus,Cerebrovascular disease,1
266473,8520M,MENINGEAL HAEMORRHAGE TRAUMATIC,Cerebrovascular disease,1
45781,G63..00,Precerebral arterial occlusion,Cerebrovascular disease,1
225147,G661.00,Anterior cerebral artery syndrome,Cerebrovascular disease,1
25114,E030400,"Acute confusional state, of cerebrovascular origin",Cerebrovascular disease,1
34135,14A7.00,H/O: CVA/stroke,Cerebrovascular disease,1
46316,G612.00,Basal nucleus haemorrhage,Cerebrovascular disease,1
65745,Gyu6100,[X]Other subarachnoid haemorrhage,Cerebrovascular disease,1
40338,G611.00,Internal capsule haemorrhage,Cerebrovascular disease,1
31218,9Om..00,Stroke/transient ischaemic attack monitoring administration,Cerebrovascular disease,1
18689,G660.00,Middle cerebral artery syndrome,Cerebrovascular disease,1
7780,G667.00,Left sided CVA,Cerebrovascular disease,1
90572,Gyu6500,[X]Occlusion and stenosis of other precerebral arteries,Cerebrovascular disease,1
34375,9Om2.00,Stroke/transient ischaemic attack monitoring third letter,Cerebrovascular disease,1
17326,G60X.00,"Subarachnoid haemorrh from intracranial artery, unspecif",Cerebrovascular disease,1
7912,G614.00,Pontine haemorrhage,Cerebrovascular disease,1
55351,7P24200,Delivery of rehabilitation for stroke,Cerebrovascular disease,1
29939,G600.00,Ruptured berry aneurysm,Cerebrovascular disease,1
19412,G602.00,Subarachnoid haemorrhage from middle cerebral artery,Cerebrovascular disease,1
51311,G6y..00,Other specified cerebrovascular disease,Cerebrovascular disease,1
504,G65..00,Transient cerebral ischaemia,Cerebrovascular disease,1
1469,G66..00,Stroke and cerebrovascular accident unspecified,Cerebrovascular disease,1
306476,4389,CEREBROVASCULAR DISEASE,Cerebrovascular disease,1
19260,G662.00,Posterior cerebral artery syndrome,Cerebrovascular disease,1
91627,Gyu6300,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Cerebrovascular disease,1
35916,7A20300,Endarterectomy and patch repair of carotid artery,Cerebrovascular disease,1
98642,G633.00,Multiple and bilateral precerebral arterial occlusion,Cerebrovascular disease,1
57495,G63..11,Infarction - precerebral,Cerebrovascular disease,1
103690,38G3.00,"Hyperten, abnorm renal/liver funct, stroke, BLED score",Cerebrovascular disease,1
107195,661M700,Stroke self-management plan agreed,Cerebrovascular disease,1
5268,G650.11,Insufficiency - basilar artery,Cerebrovascular disease,1
