h_hospflg,j_flag,medcode,readoxmisterm,read_code
5. AE non-specific,Poss,98135,,8HJJ.00
5. AE non-specific,Poss,51882,Accident & emergency,9b8D.00
4. Other specific hosp,,21308,Admission to hospice,8HX..00
4. Other specific hosp,,36435,Admission to hospice for respite,8HX2.00
"3. Admission, unknown ",Poss,9821,Admission to hospital,8Hd..00
4. Other specific hosp,,95896,Admission to special care baby unit,8H16.00
1. COPD-related hosp/refrl,Def,11019,Admit COPD emergency,8H2R.00
4. Other specific hosp,,11486,Admit ENT emergency,8H29.00
4. Other specific hosp,,37543,Admit dermatology emergency,8H2D.00
4. Other specific hosp,,7059,Admit diabetic emergency,8H2J.00
"3. Admission, unknown ",Poss,30002,Admit geriatric emergency,8H24.00
4. Other specific hosp,,6109,Admit gynaecological emergency,8H26.00
4. Other specific hosp,,35333,Admit haematology emergency,8H2H.00
"3. Admission, unknown ",Poss,6885,Admit hospital emergency NOS,8H2Z.00
"3. Admission, unknown ",Poss,18512,Admit medical emergency unsp.,8H21.00
4. Other specific hosp,,29836,Admit neurology emergency,8H2E.00
4. Other specific hosp,,28923,Admit neurosurgical emergency,8H2N.00
4. Other specific hosp,,24655,Admit obstetric emergency,8H27.00
4. Other specific hosp,,25221,Admit ophthalmological emerg.,8H2B.00
4. Other specific hosp,,54704,Admit oral surgical emergency,8H2K.00
4. Other specific hosp,,23106,Admit orthopaedic emergency,8H28.00
4. Other specific hosp,,11963,Admit paediatric emergency,8H25.00
4. Other specific hosp,,12243,Admit plastic surgery emergenc,8H2I.00
4. Other specific hosp,,7503,Admit psychiatric emergency,8H23.00
4. Other specific hosp,,29816,Admit psychogeriatric emergency,8H2L.00
4. Other specific hosp,,46824,Admit radiotherapy emergency,8H2G.00
4. Other specific hosp,,35328,Admit renal medicine emergency,8H2M.00
4. Other specific hosp,,29190,Admit rheumatology emergency,8H2C.00
4. Other specific hosp,,11822,Admit surgical emergency unsp.,8H22.00
"3. Admission, unknown ",Poss,8265,Admit to I.T.U.,8H1..11
4. Other specific hosp,,52773,Admit to burns unit,8H15.00
"3. Admission, unknown ",Poss,22374,Admit to intensive c.u. NOS,8H1Z.00
"3. Admission, unknown ",Poss,11413,Admit to intensive care unit,8H1..00
4. Other specific hosp,,66764,Admit to metabolic ITU,8H14.00
4. Other specific hosp,,65512,Admit to neurological ITU,8H13.00
2. Other respiratory hosp,Poss,67786,Admit to respiratory ITU,8H12.00
4. Other specific hosp,,19209,Admit trauma emergency,8H2A.00
4. Other specific hosp,,12038,Admit urology emergency,8H2F.00
4. Other specific hosp,,95705,Air embolism due to surgery,SP31100
7. AE Resp emergency,,47337,Asthma accident and emergency attendance since last visit,663m.00
8. AE COPD emergency,Def,19106,COPD accident and emergency attendance since last visit,66Yd.00
4. Other specific hosp,,53709,Cardiothoracic surgery,9b8B.00
"3. Admission, unknown ",,30327,Dead on arrival at hospital,9498
"3. Admission, unknown ",,9059,Death in hospital,8HG..11
"3. Admission, unknown ",,28801,Death notif. from hospital,9451
4. Other specific hosp,,618,Delivery by emergency caesarean section,L398400
"3. Admission, unknown ",,1868,Died in hospital,8HG..00
"3. Admission, unknown ",,37697,Discharge by ITU specialist,ZLD2G11
5. AE non-specific,Poss,32515,Discharge by accident and emergency doctor,ZLD2100
"3. Admission, unknown ",Poss,46901,Discharge by adult ITU specialist,ZLD2H11
"3. Admission, unknown ",Poss,68130,Discharge by adult intensive care specialist,ZLD2H00
5. AE non-specific,Poss,47432,Discharge by casualty doctor,ZLD2111
"3. Admission, unknown ",,47108,Discharge by intensive care specialist,ZLD2G00
"3. Admission, unknown ",,50833,Discharge by paediatric ITU specialist,ZLD2I11
"3. Admission, unknown ",,41952,Discharge by paediatric intensive care specialist,ZLD2I00
5. AE non-specific,Poss,32564,Discharge from accident and emergency service,ZLE1.00
"3. Admission, unknown ",Poss,47585,Discharge from adult ITU service,ZLE5111
"3. Admission, unknown ",Poss,53495,Discharge from adult intensive care service,ZLE5100
"3. Admission, unknown ",,48490,Discharge from casualty service,ZLE1.11
"3. Admission, unknown ",Poss,10866,Discharge from hospital,ZLF2.00
"3. Admission, unknown ",,42177,Discharge from intensive care service,ZLE5.00
"3. Admission, unknown ",,42044,Discharge from paediatric intensive care service,ZLE5200
"3. Admission, unknown ",,41976,Discharge to hospital,ZLG6.00
4. Other specific hosp,,73177,Discharge to long stay hospital,ZLG6100
"3. Admission, unknown ",,36885,Discharge to tertiary referral hospital,ZLG6400
"3. Admission, unknown ",,43900,Discharge to tertiary referring hospital,ZLG6500
5. AE non-specific,Poss,26436,Discharged from accident and emergency,8HE8.00
"3. Admission, unknown ",Poss,480,Discharged from hospital,8HE..00
"3. Admission, unknown ",Poss,4774,Discharged from inpatient care,8HE2.00
"3. Admission, unknown ",,56256,Duration of in-patient stay,8HN..00
4. Other specific hosp,,95573,Emerg aortic bypass by anastomosis axillary to femoral art,7A10000
4. Other specific hosp,,66810,Emerg bypass ascending aorta by anastom aorta to aorta NEC,7A15000
4. Other specific hosp,,48755,Emerg bypass bifurc aorta by anast aorta to femoral artery,7A12000
4. Other specific hosp,,68141,Emerg bypass comm iliac art by aorta/com iliac art anast NEC,7A41400
4. Other specific hosp,,99676,Emerg bypass femoral art by fem/peron art anast c prosth NEC,7A47800
4. Other specific hosp,,52342,Emerg bypass femoral art by fem/pop a anast c vein graft NEC,7A47200
4. Other specific hosp,,43651,Emerg bypass femoral art by fem/pop art anast c prosth NEC,7A47000
4. Other specific hosp,,96255,Emerg bypass femoral art by fem/tib a anast c vein graft NEC,7A47600
4. Other specific hosp,,66820,Emerg bypass femoral art by fem/tib art anast c prosth NEC,7A47400
4. Other specific hosp,,48939,Emerg bypass femoral artery by fem/fem art anastomosis NEC,7A47C00
4. Other specific hosp,,44250,Emerg bypass iliac art by iliac/femoral art anastomosis NEC,7A41000
4. Other specific hosp,,72448,Emerg bypass iliac artery by femoral/femoral art anast NEC,7A41200
4. Other specific hosp,,98082,Emerg bypass infrarenal aorta by anastom aorta to aorta NEC,7A15300
4. Other specific hosp,,66917,Emerg bypass leg artery by aorta/com fem art anastomosis NEC,7A41600
4. Other specific hosp,,62775,Emerg bypass pop art by pop/peron art anast c vein graft NEC,7A47B00
4. Other specific hosp,,60693,Emerg bypass pop art by pop/pop art anast c vein graft NEC,7A47300
4. Other specific hosp,,66879,Emerg bypass pop art by pop/tib art anast c vein graft NEC,7A47700
4. Other specific hosp,,67818,Emerg bypass popliteal art by pop/pop art anast c prosth NEC,7A47100
4. Other specific hosp,,70922,Emerg bypass popliteal artery by pop/fem art anastomosis NEC,7A47D00
4. Other specific hosp,,3488,Emerg psychiatric admiss MHA,8H23000
4. Other specific hosp,,96654,Emerg repl aneurysm bifurc aorta by anast aorta to fem art,7A11000
4. Other specific hosp,,69922,Emerg repl aneurysm bifurc aorta by anast aorta to iliac a,7A11200
4. Other specific hosp,,99068,Emerg replace aneurys pop art by pop/pop a anast c vein graf,7A45300
4. Other specific hosp,,54192,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC,7A13400
4. Other specific hosp,,99722,Emerg replace aneurysm asc aorta by anastom aorta to aorta,7A13000
