medcode,readcode,readterm,cat,score,CC,TERMID,TERM60
5602,G64z.12,Cerebellar infarction,Cerebrovascular disease,1,Xa00J,Ya0rd,Cerebellar infarction
44740,G680.00,Sequelae of subarachnoid haemorrhage,Cerebrovascular disease,1,G680.,YMAiZ,Sequelae of subarachnoid haemorrhage
23671,G63y000,Cerebral infarct due to thrombosis of precerebral arteries,Cerebrovascular disease,1,G63y0,YMAiD,Cerebral infarct due to thrombosis of precerebral arteries
28314,G61X000,"Left sided intracerebral haemorrhage, unspecified",Cerebrovascular disease,1,XaBM4,Yaafp,"Left sided intracerebral haemorrhage, unspecified"
10792,662M.00,Stroke monitoring,Cerebrovascular disease,1,662M.,YM9hB,Stroke monitoring
10062,G6z..00,Cerebrovascular disease NOS,Cerebrovascular disease,1,G6z..,Y00cS,Cerebrovascular disease NOS
40053,G671.00,Generalised ischaemic cerebrovascular disease NOS,Cerebrovascular disease,1,G671.,YM1i1,Generalised ischaemic cerebrovascular disease NOS
31805,G62..00,Other and unspecified intracranial haemorrhage,Cerebrovascular disease,1,G62..,Y00cc,Other and unspecified intracranial haemorrhage
55602,G677300,Occlusion and stenosis of cerebellar arteries,Cerebrovascular disease,1,G6773,YMAjd,Occlusion and stenosis of cerebellar arteries
40098,1JA1.00,Suspected cerebrovascular disease,Cerebrovascular disease,1,XaLUU,YaobF,Suspected cerebrovascular disease
4273,G621.00,Subdural haemorrhage - nontraumatic,Cerebrovascular disease,1,G621.,YMIOy,Subdural haemorrhage - nontraumatic
27975,G641000,Cerebral infarction due to embolism of cerebral arteries,Cerebrovascular disease,1,G6410,YMAiG,Cerebral infarction due to embolism of cerebral arteries
100639,1M4..00,Central post-stroke pain,Cerebrovascular disease,1,Xa0Ml,Y7CrK,Central post-stroke pain
53810,Gyu6200,[X]Other intracerebral haemorrhage,Cerebrovascular disease,1,Gyu62,YMAHx,[X]Other intracerebral haemorrhage
39403,G683.00,Sequelae of cerebral infarction,Cerebrovascular disease,1,G683.,YMAiM,Sequelae of cerebral infarction
100015,8CRB.00,Transient ischaemic attack clinical management plan,Cerebrovascular disease,1,XaQve,YatQl,Transient ischaemic attack clinical management plan
47642,G64z100,Wallenberg syndrome,Cerebrovascular disease,1,Xa00M,Ya0rg,Wallenberg syndrome
56458,8HHM.00,Ref to multidisciplinary stroke function improvement service,Cerebrovascular disease,1,XaJi5,Yammy,Ref to multidisciplinary stroke function improvement service
37493,G67z.00,Other cerebrovascular disease NOS,Cerebrovascular disease,1,G67z.,Y00cV,Other cerebrovascular disease NOS
42335,L440.00,Cerebrovascular disorders in the puerperium,Cerebrovascular disease,1,XE2sl,Y415k,Cerebrovascular disorders in the puerperium
33499,G665.00,Pure motor lacunar syndrome,Cerebrovascular disease,1,XaQbK,YMAi9,Pure motor lacunar syndrome
99367,Gyu6A00,[X]Other cerebrovascular disorders in diseases CE,Cerebrovascular disease,1,Gyu6A,YMAI5,[X]Other cerebrovascular disorders in diseases CE
33543,G6X..00,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Cerebrovascular disease,1,G6X..,00H3G,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
54744,F11x200,Cerebral degeneration due to cerebrovascular disease,Cerebrovascular disease,1,F11x2,Ya25R,Cerebral degeneration due to cerebrovascular disease
51465,9Om3.00,Stroke/transient ischaemic attack monitoring verbal invitati,Cerebrovascular disease,1,XaKba,YanvX,Stroke/transient ischaemic attack monitoring verbal invitati
6228,G68X.00,"Sequelae of stroke,not specfd as h'morrhage or infarction",Cerebrovascular disease,1,G68X.,00H3E,"Sequelae of stroke,not specfd as h'morrhage or infarction"
108630,Gyu6E00,"[X]Subarachnoid haemorrh from intracranial artery, unspecif",Cerebrovascular disease,1,Gyu6E,YMAI9,"[X]Subarachnoid haemorrh from intracranial artery, unspecif"
45734,F117.00,Infantile posthaemorrhagic hydrocephalus,Cerebrovascular disease,1,X00EL,Y00fR,Infantile posthaemorrhagic hydrocephalus
45781,G63..00,Precerebral arterial occlusion,Cerebrovascular disease,1,XE0VG,Y20FQ,Precerebral arterial occlusion
225147,G661.00,Anterior cerebral artery syndrome,Cerebrovascular disease,1,G661.,YMAiR,Anterior cerebral artery syndrome
25114,E030400,"Acute confusional state, of cerebrovascular origin",Cerebrovascular disease,1,E0304,Y017P,"Acute confusional state, of cerebrovascular origin"
34135,14A7.00,H/O: CVA/stroke,Cerebrovascular disease,1,XE2te,Ya04o,H/O: CVA/stroke
65745,Gyu6100,[X]Other subarachnoid haemorrhage,Cerebrovascular disease,1,Gyu61,YMAHw,[X]Other subarachnoid haemorrhage
40338,G611.00,Internal capsule haemorrhage,Cerebrovascular disease,1,G611.,Y00db,Internal capsule haemorrhage
31218,9Om..00,Stroke/transient ischaemic attack monitoring administration,Cerebrovascular disease,1,XaJuH,Yan2d,Stroke/transient ischaemic attack monitoring administration
18689,G660.00,Middle cerebral artery syndrome,Cerebrovascular disease,1,G660.,YMAiP,Middle cerebral artery syndrome
90572,Gyu6500,[X]Occlusion and stenosis of other precerebral arteries,Cerebrovascular disease,1,Gyu65,YMAI0,[X]Occlusion and stenosis of other precerebral arteries
34375,9Om2.00,Stroke/transient ischaemic attack monitoring third letter,Cerebrovascular disease,1,XaJuY,Yan35,Stroke/transient ischaemic attack monitoring third letter
17326,G60X.00,"Subarachnoid haemorrh from intracranial artery, unspecif",Cerebrovascular disease,1,G60X.,00H15,"Subarachnoid haemorrh from intracranial artery, unspecif"
7912,G614.00,Pontine haemorrhage,Cerebrovascular disease,1,G614.,Y00dl,Pontine haemorrhage
55351,7P24200,Delivery of rehabilitation for stroke,Cerebrovascular disease,1,XaLtA,Yap0u,Delivery of rehabilitation for stroke
29939,G600.00,Ruptured berry aneurysm,Cerebrovascular disease,1,G600.,YM0mH,Ruptured berry aneurysm
19412,G602.00,Subarachnoid haemorrhage from middle cerebral artery,Cerebrovascular disease,1,G602.,00H10,Subarachnoid haemorrhage from middle cerebral artery
51311,G6y..00,Other specified cerebrovascular disease,Cerebrovascular disease,1,G6y..,Y00cT,Other specified cerebrovascular disease
