read_code,read_term,respiratory_specific,asthma_specific,COPD_specific,admission_type,non_resp
13F8.,Hospital inpatient,0,0,0,INP,0
663d.,Emerg asthm adm since lst appt,1,1,0,A&E,0
663m.,Asthma accident and emergency attendance since last visit,1,1,0,A&E,0
66G2.,Allergic dis. follow-up assess,1,0,0,INP,0
66Yd.,COPD A&E attend sin last visit,1,0,1,A&E,0
66Ye.,Emer COPD admi sin last appoin,1,0,1,A&E,0
66Yi.,Mult COPD emerg hosp admission,1,0,1,A&E,0
6A1..,Patient reviewed at hospital,0,0,0,INP,0
8CO..,Inpatient care,0,0,0,INP,0
8GE5.,Holiday relief admission,0,0,0,INP,0
8H...,Referral for further care,0,0,0,OUT,0
8H1..,Admit to I.T.U.,0,0,0,INP,0
8H11.,Admit to cardiac ITU,0,0,0,INP,0
8H12.,Admit to respiratory ITU,1,0,0,INP,0
8H13.,Admit to neurological ITU,0,0,0,INP,0
8H14.,Admit to metabolic ITU,0,0,0,INP,0
8H15.,Admit to burns unit,0,0,0,INP,1
8H1Z.,Admit to intensive c.u. NOS,0,0,0,INP,0
8H2..,Emergency hospital admission,0,0,0,INP,0
8H21.,Admit medical emergency unsp.,0,0,0,INP,0
8H22.,Admit surgical emergency unsp.,0,0,0,INP,0
8H23.,Admit psychiatric emergency,0,0,0,A&E,1
8H230,Emerg psychiatric admiss MHA,0,0,0,INP,1
8H24.,Admit geriatric emergency,0,0,0,INP,0
8H25.,Admit paediatric emergency,0,0,0,INP,0
8H26.,Admit gynaecological emergency,0,0,0,INP,1
8H27.,Admit obstetric emergency,0,0,0,INP,1
8H28.,Admit orthopaedic emergency,0,0,0,A&E,1
8H29.,Admit ENT emergency,0,0,0,A&E,0
8H2A.,Admit trauma emergency,0,0,0,INP,0
8H2B.,Admit ophthalmological emerg.,0,0,0,INP,1
8H2C.,Admit rheumatology emergency,0,0,0,INP,1
8H2D.,Admit dermatology emergency,0,0,0,INP,1
8H2E.,Admit neurology emergency,0,0,0,INP,0
8H2F.,Admit urology emergency,0,0,0,INP,1
8H2G.,Admit radiotherapy emergency,0,0,0,INP,1
8H2H.,Admit haematology emergency,0,0,0,A&E,1
8H2I.,Admit plastic surgery emergenc,0,0,0,A&E,1
8H2J.,Admit diabetic emergency,0,0,0,A&E,1
8H2K.,Admit oral surgical emergency,0,0,0,INP,1
8H2L.,Admit psychogeriatric emerg.,0,0,0,INP,0
8H2M.,Admit renal medicine emergency,0,0,0,INP,1
8H2N.,Admit neurosurgical emergency,0,0,0,INP,0
8H2O.,Admit cardiothoracic emergency,0,0,0,INP,0
8H2P.,Emergency admission, asthma,1,1,0,A&E,0
8H2Q.,Admit cardiology emergency,0,0,0,A&E,0
8H2R.,Admit COPD emergency,1,0,1,A&E,0
8H2S.,Admit heart failure emergency,0,0,0,INP,1
8H2Z.,Admit hospital emergency NOS,0,0,0,INP,0
