read_code,read_term
13Y4.,Asthma society member
14B4.,H/O: asthma
14OX.,At risk of chronic obstructive pulmonary diseas exacerbation
17...,Respiratory symptoms
171..,Cough
1712.,Dry cough
1713.,Productive cough -clear sputum
1714.,Productive cough -green sputum
1715.,Productive cough-yellow sputum
1716.,Productive cough NOS
1719.,Chesty cough
171A.,Chronic cough
171B.,Persistent cough
171C.,Morning cough
171D.,Evening cough
171E.,Unexplained cough
171F.,Cough with fever
171G.,Bovine cough
171K.,Barking cough
171L.,Cough on exercise
171Z.,Cough symptom NOS
172..,Blood in sputum - haemoptysis
173..,Breathlessness
1731.,No breathlessness
1732.,Breathless - moderate exertion
1733.,Breathless - mild exertion
1734.,Breathless - at rest
1735.,Breathless - lying flat
1737.,Wheezing
1738.,Difficulty breathing
1739.,Shortness of breath
173A.,Exercise induced asthma
173B.,Nocturnal cough / wheeze
173C.,Short of breath on exertion
173D.,Nocturnal dyspnoea
173E.,Wheeze absent
173F.,Short of breath dressing/undressing
173G.,Breathless - strenuous exertion
173H.,MRC Breathlessness Scale: grade 1
173I.,MRC Breathlessness Scale: grade 2
173J.,MRC Breathlessness Scale: grade 3
173K.,MRC Breathlessness Scale: grade 4
173L.,MRC Breathlessness Scale: grade 5
173M.,Borg Breathlessness Score: 0 none at all
173P.,Borg Breathlessness Score: 1 very slight
173Q.,Borg Breathlessness Score: 2 slight
173R.,Borg Breathlessness Score: 3 moderate
173S.,Borg Breathlessness Score: 4 somewhat severe
173T.,Borg Breathlessness Score: 5 severe
173V.,Borg Breathlessness Score: 6 severe (+)
173W.,Borg Breathlessness Score: 7 very severe
173X.,Borg Breathlessness Score: 8 very severe (+)
173Y.,Borg Breathlessness Score: 9 very, very sev (almost maximal)
173Z.,Breathlessness NOS
173a.,Borg Breathlessness Score: 10 maximal
173c.,Occupational asthma
173e.,Viral wheeze
178..,Asthma trigger
1780.,Aspirin induced asthma
1781.,Asthma trigger - pollen
1782.,Asthma trigger - tobacco smoke
1783.,Asthma trigger - warm air
1784.,Asthma trigger - emotion
1785.,Asthma trigger - damp
1786.,Asthma trigger - animals
1787.,Asthma trigger - seasonal
