read_code,read_term
65VA.,Notification of whooping cough
A0222,Salmonella pneumonia
A054.,Amoebic lung abscess
A11..,Pulmonary tuberculosis
A110.,Infiltrative lung tuberculosis
A111.,Nodular lung tuberculosis
A112.,Tuberculosis of lung with cavitation
A113.,Tuberculosis of bronchus
A115.,Tuberculous bronchiectasis
A116.,Tuberculous pneumonia
A11y.,Other specified pulmonary tuberculosis
A11z.,Pulmonary tuberculosis NOS
A1202,Tuberculous hydrothorax
A1221,Isolated bronchial tuberculosis
A1240,TB lung confirm sputum microscopy with or without culture
A1241,Tuberculosis of lung, confirmed by culture only
A1242,Tuberculosis of lung, confirmed histologically
A1243,Tuberculosis of lung, confirmed by unspecified means
A1251,Tuberculosis lung bact and histological examin not done
A203.,Primary pneumonic plague
A204.,Secondary pneumonic plague
A205.,Pneumonic plague, unspecified
A33..,Whooping cough
A330.,Bordetella pertussis
A331.,Bordetella parapertussis
A33y.,Whooping cough - other specified organism
A33y0,Bordetella bronchiseptica
A33yz,Other whooping cough NOS
A33z.,Whooping cough NOS
A3B3.,Friedlander's bacillus infection
A3BX4,Streptococ pneumon/cause/disease classified/oth chapters
A3BXA,Mycoplasma pneumoniae [PPLO] cause/dis classifd/oth chaptr
A3BXB,Klebsiella pneumoniae/cause/disease classifd/oth chapters
A3By1,Eaton's agent infection
A3By4,Pleuropneumonia-like organism (PPLO) infection
A73x.,Ornithosis with other specified complications
A73y.,Ornithosis with unspecified complications
A73z.,Unspecified Ornithosis
AB24.,Candidiasis of lung
AB30.,Primary pulmonary coccidioidomycosis
AB405,Histoplasma capsulatum with pneumonia
AB415,Histoplasma duboisii with pneumonia
AB501,Primary pulmonary blastomycosis
AB504,Acute pulmonary blastomycosis
AB511,Pulmonary paracoccidioidomycosis
AB636,Aspergillus bronchitis
AD04.,Toxoplasma pneumonitis
Ayu39,[X]Whooping cough due to other Bordetella species
Ayu3A,[X]Whooping cough, unspecified
H06..,Acute bronchitis and bronchiolitis
H060.,Acute bronchitis
H0600,Acute fibrinous bronchitis
H0601,Acute membranous bronchitis
H0602,Acute pseudomembranous bronchitis
H0603,Acute purulent bronchitis
H0604,Acute croupous bronchitis
H0605,Acute tracheobronchitis
H0606,Acute pneumococcal bronchitis
H0607,Acute streptococcal bronchitis
H0608,Acute haemophilus influenzae bronchitis
H0609,Acute neisseria catarrhalis bronchitis
H060A,Acute bronchitis due to mycoplasma pneumoniae
H060B,Acute bronchitis due to coxsackievirus
H060C,Acute bronchitis due to parainfluenza virus
H060D,Acute bronchitis due to respiratory syncytial virus
H060E,Acute bronchitis due to rhinovirus
H060F,Acute bronchitis due to echovirus
H060v,Subacute bronchitis unspecified
H060w,Acute viral bronchitis unspecified
H060x,Acute bacterial bronchitis unspecified
H060z,Acute bronchitis NOS
H061.,Acute bronchiolitis
H0615,Acute bronchiolitis due to respiratory syncytial virus
H0616,Acute bronchiolitis due to other specified organisms
H062.,Acute lower respiratory tract infection
H06z.,Acute bronchitis or bronchiolitis NOS
H06z0,Chest infection NOS
H06z1,Lower resp tract infection
H06z2,Recurrent chest infection
H07..,Chest cold
H1yz0,Abscess of trachea
