read_code,MX_PRODUCT_CODE,MX_PRODUCT_NAME,MX_DRUG_SUBSTANCE_NAME,mcg,doses_in_pack,device,device_type,MX_FORM,MX_STRENGTH,MX_GENERIC_NAME,MX_BNF_CODE,MX_BNF_HEADER
c12w.,02914001,SALBUTAMOL inh 100micrograms/inhalation,SALBUTAMOL SULPHATE,100,200,MDI,,inh,100,,03010101,Selective beta-2-agonists
c131.,02414001,ASMAVEN inh 100micrograms,SALBUTAMOL SULPHATE,100,200,MDI,,inh,100,SALBUTAMOL inh 100micrograms/inhalation,03010101,Selective beta-2-agonists
c133.,01193003,SALBULIN inh,SALBUTAMOL SULPHATE,100,200,MDI,,inh,100,SALBUTAMOL inh 100micrograms/inhalation,03010101,Selective beta-2-agonists
c134.,01020001,VENTOLIN inh 100micrograms/inhalation,SALBUTAMOL SULPHATE,100,200,MDI,,inh,100,SALBUTAMOL inh 100micrograms/inhalation,03010101,Selective beta-2-agonists
c136.,01021001,VENTOLIN rcap 200micrograms,SALBUTAMOL SULPHATE,200,200,DPI,,inh,200,SALBUTAMOL inh caps 200micrograms,03010101,Selective beta-2-agonists
c137.,01021002,VENTOLIN rcap 400micrograms,SALBUTAMOL SULPHATE,400,200,DPI,,inh,400,SALBUTAMOL inh caps 400micrograms,03010101,Selective beta-2-agonists
c13C.,05544001,SALBUTAMOL disc 200micrograms,SALBUTAMOL SULPHATE,200,112,DPI,,dsc,200,,03010101,Selective beta-2-agonists
c13D.,05544002,SALBUTAMOL disc 400micrograms,SALBUTAMOL SULPHATE,400,112,DPI,,dsc,400,,03010101,Selective beta-2-agonists
c13E.,05153002,VENTODISKS disc 400micrograms/blister,SALBUTAMOL SULPHATE,400,112,DPI,,dsc,400,SALBUTAMOL disc 400micrograms,03010101,Selective beta-2-agonists
c13F.,05153001,VENTODISKS disc 200micrograms/blister,SALBUTAMOL SULPHATE,200,112,DPI,,dsc,200,SALBUTAMOL disc 200micrograms,03010101,Selective beta-2-agonists
c13G.,05153002,VENTODISKS disc 400micrograms/blister,SALBUTAMOL SULPHATE,400,112,DPI,,dsc,400,SALBUTAMOL disc 400micrograms,03010101,Selective beta-2-agonists
c13H.,01195001,SALAMOL inh 100micrograms/actuation,SALBUTAMOL SULPHATE,100,200,BAI,easi-breathe,inh,100,SALBUTAMOL inh 100micrograms/inhalation,03010101,Selective beta-2-agonists
